"Date","Open","low","close","high"
"Date","Open","High","Low",""
"Apr 2007","5267.70","4921.80","5621.00","5975.00"
"Mar 2007","5262.35","4837.25","5308.50","5594.75"
"Feb 2007","5976.25","5112.15","5240.30","6248.60"
"Jan 2007","6015.15","5684.70","5953.95","6292.90"
"Dec 2006","6217.65","5408.95","6008.75","6595.85"
"Nov 2006","5792.80","5460.50","6198.30","6268.25"
"Oct 2006","5277.05","5142.00","5588.70","5686.90"
"Sep 2006","4593.20","4480.20","5276.25","5519.55"
"Aug 2006","4074.15","3996.05","4594.85","4633.05"
"July 2006","3717.75","3413.50","4078.80","4140.55"
"June 2006","4130.85","3408.95","3708.90","4206.35"
"May 2006","4558.25","3972.25","4123.55","5074.40"
"Apr 2006","4661.50","4179.85","4549.80","4905.05"
"Mar 2006","4521.70","4491.10","4661.50","4785.05"
"Feb 2006","4622.30","4360.30","4579.05","4645.40"
"Jan 2006","4566.95","4385.65","4617.60","4802.80"
"Dec 2005","4321.65","4218.45","4534.20","4611.70"
"Nov 2005","4049.80","3959.70","4298.20","4426.95"
"Oct 2005","4639.15","3858.05","4003.85","4704.45"
"Sep 2005","4063.85","4038.90","4622.10","4667.95"
"Aug 2005","4349.60","3952.50","4062.60","4370.50"
"July 2005","3626.65","3607.70","4361.15","4431.95"
"June 2005","3600.90","3518.95","3638.40","3657.80"
