"Date","Open","low","close","high_to_low","open_to_close","high"
"Date","Open","High","Low","Close","",""
"(High-Low)","","","","","(Open-Close)",""
"2021-07-05","35010.95","34926.40","35212.00","307.90","-201.05","35234.30"
"2021-07-02","34728.10","34632.60","34809.90","261.85","-81.80","34894.45"
"2021-07-01","34866.00","34650.95","34684.00","266.70","182.00","34917.65"
"2021-06-30","35001.90","34730.45","34772.20","484.45","229.70","35214.90"
"2021-06-29","35320.45","34913.70","35010.30","423.75","310.15","35337.45"
"2021-06-28","35488.20","35236.45","35359.45","340.50","128.75","35576.95"
"2021-06-25","34916.65","34915.85","35364.65","576.10","-448.00","35491.95"
"2021-06-24","34687.70","34592.35","34827.00","342.95","-139.30","34935.30"
"2021-06-23","34911.85","34525.45","34574.00","412.20","337.85","34937.65"
"2021-06-22","35084.90","34664.35","34745.00","617.55","339.90","35281.90"
"2021-06-21","34109.45","33937.50","34871.30","990.15","-761.85","34927.65"
"2021-06-18","34735.15","33908.95","34558.00","878.45","177.15","34787.40"
"2021-06-17","34619.80","34458.10","34605.40","424.30","14.40","34882.40"
"2021-06-16","35196.25","34916.20","35003.50","463.80","192.75","35380.00"
"2021-06-15","35038.05","34917.90","35247.75","399.50","-209.70","35317.40"
"2021-06-14","34936.55","34374.35","34950.60","620.80","-14.05","34995.15"
"2021-06-11","35324.65","34891.30","35047.40","452.70","277.25","35344.00"
"2021-06-10","34903.60","34734.40","35131.20","431.25","-227.60","35165.65"
"2021-06-09","35114.25","34641.20","34800.50","761.25","313.75","35402.45"
"2021-06-08","35433.80","34962.65","35085.30","486.85","348.50","35449.50"
"2021-06-07","35460.80","35338.55","35443.65","207.30","17.15","35545.85"
"2021-06-04","35657.85","35176.15","35291.65","634.75","366.20","35810.90"
"2021-06-03","35536.45","35413.00","35649.00","310.70","-112.55","35723.70"
"2021-06-02","35271.60","35070.30","35373.75","345.55","-102.15","35415.85"
"2021-06-01","35639.75","35241.20","35337.20","472.70","302.55","35713.90"
"2021-05-31","35097.45","34930.10","35526.65","654.20","-429.20","35584.30"
"2021-05-28","35345.65","34977.20","35141.45","459.45","204.20","35436.65"
"2021-05-27","34664.20","34529.70","35095.05","691.10","-430.85","35220.80"
"2021-05-26","34757.15","34462.50","34684.20","435.45","72.95","34897.95"
"2021-05-25","35095.00","34410.40","34662.00","715.45","433.00","35125.85"
"2021-05-24","34869.30","34528.30","34943.60","687.80","-74.30","35216.10"
"2021-05-21","33559.80","33559.75","34606.90","1,134.70","-1,047.10","34694.45"
"2021-05-20","33692.55","33273.95","33334.55","559.75","358.00","33833.70"
"2021-05-19","33717.10","33608.25","33685.20","351.05","31.90","33959.30"
"2021-05-18","33893.10","33730.45","33922.40","412.40","-29.30","34142.85"
"2021-05-17","32437.85","32318.70","33459.25","1,188.20","-1,021.40","33506.90"
"2021-05-14","32495.15","32115.50","32169.55","507.15","325.60","32622.65"
